hola
buenos días
buenas tardes
buenas noches
qué tal
cómo estás
cómo andas
cómo va todo
qué hay
qué onda
qué pasa
qué hubo
qué hubo pues
qué hubo socio
qué hubo hermano
qué hubo amigo
qué hubo compa
qué hubo colega
qué hubo vecino
qué hubo primo
qué hubo familia
qué hubo gente
qué hubo todos
qué hubo ustedes
qué hubo ustedes dos
qué hubo ustedes tres
qué hubo ustedes cuatro
qué hubo ustedes cinco
qué hubo ustedes seis
qué hubo ustedes siete
qué hubo ustedes ocho
qué hubo ustedes nueve
qué hubo ustedes diez
qué hubo ustedes veinte
qué hubo ustedes treinta
qué hubo ustedes cuarenta
qué hubo ustedes cincuenta
qué hubo ustedes cien
qué hubo ustedes mil
qué hubo ustedes millón
qué hubo ustedes billón
qué hubo ustedes trillón
qué hubo ustedes infinito
qué hubo ustedes eterno
qué hubo ustedes siempre
qué hubo ustedes nunca
qué hubo ustedes jamás
qué hubo ustedes nadie
qué hubo ustedes nada
qué hubo ustedes todo
qué hubo ustedes todos
qué hubo ustedes todas
qué hubo ustedes ambos
qué hubo ustedes ambas
qué hubo ustedes algunos
qué hubo ustedes algunas
qué hubo ustedes varios
qué hubo ustedes varias
qué hubo ustedes muchos
qué hubo ustedes muchas
qué hubo ustedes pocos
qué hubo ustedes pocas
qué hubo ustedes ninguno
qué hubo ustedes ninguna
qué hubo ustedes alguien
qué hubo ustedes cualquiera
qué hubo ustedes cualquier restricción
qué hubo ustedes cualquier límite
qué hubo ustedes cualquier condición
qué hubo ustedes cualquier requisito
qué hubo ustedes cualquier obligación
qué hubo ustedes cualquier compromiso
qué hubo ustedes cualquier responsabilidad
qué hubo ustedes cualquier deber
qué hubo ustedes cualquier carga
qué hubo ustedes cualquier peso
qué hubo ustedes cualquier presión
qué hubo ustedes cualquier tensión
qué hubo ustedes cualquier estrés
qué hubo ustedes cualquier apuro
qué hubo ustedes cualquier prisa
qué hubo ustedes cualquier urgencia
qué hubo ustedes cualquier necesidad
qué hubo ustedes cualquier motivo
qué hubo ustedes cualquier razón
qué hubo ustedes cualquier causa
qué hubo ustedes cualquier explicación
qué hubo ustedes cualquier justificación
qué hubo ustedes cualquier fundamento
qué hubo ustedes cualquier base
qué hubo ustedes cualquier apoyo
qué hubo ustedes cualquier respaldo
qué hubo ustedes cualquier sustento
qué hubo ustedes cualquier prueba
qué hubo ustedes cualquier evidencia
qué hubo ustedes cualquier demostración
qué hubo ustedes cualquier comprobación
qué hubo ustedes cualquier verificación
qué hubo ustedes cualquier confirmación
qué hubo ustedes cualquier validación
qué hubo ustedes cualquier certificación
qué hubo ustedes cualquier garantía
qué hubo ustedes cualquier seguridad
qué hubo ustedes cualquier certeza
qué hubo ustedes cualquier confianza
qué hubo ustedes cualquier fe
qué hubo ustedes cualquier esperanza
qué hubo ustedes cualquier ilusión
qué hubo ustedes cualquier sueño
qué hubo ustedes cualquier deseo
qué hubo ustedes cualquier anhelo
qué hubo ustedes cualquier aspiración
qué hubo ustedes cualquier objetivo
qué hubo ustedes cualquier meta
qué hubo ustedes cualquier propósito
qué hubo ustedes cualquier fin
qué hubo ustedes cualquier destino
qué hubo ustedes cualquier rumbo
qué hubo ustedes cualquier dirección
qué hubo ustedes cualquier camino
qué hubo ustedes cualquier trayecto
qué hubo ustedes cualquier recorrido
qué hubo ustedes cualquier viaje
qué hubo ustedes cualquier traslado
qué hubo ustedes cualquier movimiento
qué hubo ustedes cualquier desplazamiento
qué hubo ustedes cualquier transporte
qué hubo ustedes cualquier envío
qué hubo ustedes cualquier entrega
qué hubo ustedes cualquier distribución
qué hubo ustedes cualquier reparto
qué hubo ustedes cualquier difusión
qué hubo ustedes cualquier publicación
qué hubo ustedes cualquier comunicación
qué hubo ustedes cualquier transmisión
qué hubo ustedes cualquier emisión
qué hubo ustedes cualquier radiación
qué hubo ustedes cualquier propagación
qué hubo ustedes cualquier circulación
qué hubo ustedes cualquier divulgación
qué hubo ustedes cualquier exposición
qué hubo ustedes cualquier presentación
qué hubo ustedes cualquier manifestación
qué hubo ustedes cualquier declaración
qué hubo ustedes cualquier expresión
qué hubo ustedes cualquier revelación
qué hubo ustedes cualquier confesión
qué hubo ustedes cualquier proclamación
qué hubo ustedes cualquier anuncio
qué hubo ustedes cualquier aviso
qué hubo ustedes cualquier noticia
qué hubo ustedes cualquier informe
qué hubo ustedes cualquier reporte
qué hubo ustedes cualquier comunicado
qué hubo ustedes cualquier boletín
qué hubo ustedes cualquier nota
qué hubo ustedes cualquier apunte
qué hubo ustedes cualquier observación
qué hubo ustedes cualquier comentario
qué hubo ustedes cualquier crítica
qué hubo ustedes cualquier opinión
qué hubo ustedes cualquier juicio
qué hubo ustedes cualquier valoración
qué hubo ustedes cualquier apreciación
qué hubo ustedes cualquier evaluación
qué hubo ustedes cualquier estimación
qué hubo ustedes cualquier cálculo
qué hubo ustedes cualquier medida
qué hubo ustedes cualquier número
qué hubo ustedes cualquier cifra
qué hubo ustedes cualquier dato
qué hubo ustedes cualquier información
